language,review_count,mean_rating,median_review_length
en,241,3.9481327800829877,55.0
pt,57,4.254385964912281,85.0
unknown,44,4.034090909090909,8.0
es,40,3.875,46.0
fr,24,3.4166666666666665,54.5
id,13,4.576923076923077,41.0
tr,13,4.423076923076923,62.0
it,6,4.083333333333333,31.5
de,5,4.6,18.0
tl,5,3.8,18.0
ca,4,3.25,45.0
pl,3,4.5,28.0
af,3,3.8333333333333335,21.0
da,3,2.6666666666666665,15.0
no,2,4.75,30.0
ru,2,4.5,39.5
sk,2,3.25,10.5
so,2,3.75,15.0
vi,2,5.0,37.5
ar,1,3.0,21.0
hr,1,4.0,57.0
fi,1,4.0,15.0
sl,1,4.0,11.0
el,1,5.0,50.0
cy,1,5.0,15.0
zh,1,2.5,212.0
